ASIN,Title,Marketplace,Weight_kg,BB_avg,C_cost,m,fx_gbp_to_usd,AF,FC,SC,S_bundle,Qmin,Qmax_20,Qmax_15,Qmax_10,r_used,Quote_Q,Seller_ROI_%,Our_ROI_%,Margin_abs,Margin_%,Feasible,Reason
163799897X,"Dragon Ball Super Series Vol 1-22, 22 Books Collec",US,3.9916096,219.95,88.1,0.0,1.3,37.39,6.25,7.8,51.44,88.1,131.85,139.82,148.51,0.2,131.85,20.0,49.66,43.75,49.66,True,
2067955810,Gold Rush Ranch Series 4 Books Collection Set By E,US,1.0886208,43.64419354838709,16.13,0.0,1.3,7.42,4.95,7.8,20.17,16.13,16.2,17.78,19.51,0.2,16.2,20.0,0.43,0.07,0.43,True,
4027876040,Wings of Fire Series Book 5-8 By Tui T. Sutherland,UK,1.10222856,32.99,16.45,0.0,1.3,5.61,3.5,0.5,9.61,16.45,17.88,19.08,20.38,0.2,17.88,20.01,8.69,1.43,8.69,True,
409537263X,Dragon Force Series 2 Books Collection Set (Infini,UK,0.79832192,15.5,6.61,0.0,1.3,2.64,3.0,0.5,6.14,6.61,6.78,7.34,7.95,0.2,6.78,19.97,2.57,0.17,2.57,True,
5103973863,The Bad Guys 5 Books Collection Set By Aaron Blabe,UK,1.46056624,27.96,14.0,0.0,1.3,4.75,3.5,0.5,8.75,14.0,14.55,15.56,16.67,0.2,14.55,20.0,3.93,0.55,3.93,True,
9123464127,City of Ghosts Series Collection 3 Books Set By Vi,UK,0.64863656,20.209473684210526,10.31,0.0,1.3,3.44,3.0,0.5,6.94,10.31,9.9,10.63,11.43,0.15,10.63,15.02,3.1,0.32,3.1,True,
9123760915,Dragon Ball Super Series 1 To 5 Books Collection S,US,0.91625584,52.14258064516129,20.23,0.0,1.3,8.86,4.25,7.8,20.91,20.23,22.54,24.43,26.49,0.2,22.54,20.01,11.42,2.31,11.42,True,
9124086843,Hunger Games Trilogy Series 3 Books Collection Set,UK,1.46056624,25.859642857142855,10.96,0.0,1.3,4.4,3.5,0.5,8.4,10.96,13.15,14.09,15.11,0.2,13.15,20.0,19.98,2.19,19.98,True,
9124191604,"Colleen Hoover Collection 2 Books Set (Hopeless, L",UK,0.57606184,18.99,8.29,0.0,1.3,3.23,3.0,0.5,6.73,8.29,9.1,9.78,10.53,0.2,9.1,19.96,9.77,0.81,9.77,True,
9124221546,City of Ghosts Series 3 Books Collection Set By Vi,US,0.63956472,39.99,10.31,0.0,1.3,6.8,4.25,7.8,18.85,10.31,14.48,15.92,17.5,0.2,14.48,19.98,40.45,4.17,40.45,True,
9124229466,Jessie Inchauspe Collection 2 Books Set (Glucose R,UK,1.23830616,33.37,16.81,0.0,1.3,5.67,3.5,0.5,9.67,16.81,18.14,19.35,20.67,0.2,18.14,19.99,7.91,1.33,7.91,True,
9124231983,Jessie Inchauspe 2 Books Collection Set (Glucose G,US,1.22923432,54.986774193548385,16.81,0.0,1.3,9.35,4.95,7.8,22.1,16.81,23.72,25.71,27.89,0.2,23.72,20.01,41.11,6.91,41.11,True,
9124233684,Dragon Ball Super Series Vol 1-5 Books Collection ,UK,0.89811216,36.99,20.23,0.0,1.3,6.29,3.0,0.5,9.79,20.23,21.04,22.38,23.84,0.2,21.04,19.98,4.0,0.81,4.0,True,
912424788X,Demon Slayer Kimetsu Academy Volume 1-5 Books Coll,UK,0.84821704,43.70428571428572,20.23,0.0,1.3,7.43,3.0,0.5,10.93,20.23,25.49,27.07,28.8,0.2,25.49,20.0,26.0,5.26,26.0,True,
912434981X,Jujutsu Kaisen Series Vol (16-20) Collection 5 Boo,US,0.907184,57.18096774193548,20.23,0.0,1.3,9.72,4.25,7.8,21.77,20.23,25.88,27.95,30.21,0.2,25.88,20.0,27.93,5.65,27.93,True,
9124350893,Jujutsu Kaisen Series (Vol. 11-20) Collection 10 B,US,1.80983208,100.99,39.11,0.0,1.3,17.17,4.95,7.8,29.92,39.11,54.24,57.9,61.89,0.2,54.24,20.0,38.69,15.13,38.69,True,
9124357294,Dragon Force Series 2 Books Collection Set (Infini,US,0.453592,33.99,6.61,0.0,1.3,5.78,4.25,7.8,17.83,6.61,10.5,11.73,13.07,0.2,10.5,19.98,58.85,3.89,58.85,True,
9766704961,One-Punch Man Volume Collection 1-5 5 Books Bundle,UK,0.0680388,40.138214285714284,20.23,0.0,1.3,6.82,3.0,0.5,10.32,20.23,23.13,24.58,26.17,0.2,23.13,19.99,14.34,2.9,14.34,True,
9766704961,One-Punch Man Volume 1-5 Collection 5 Books Set (S,US,0.0680388,54.29870967741935,20.23,0.0,1.3,9.23,4.25,7.8,21.28,20.23,23.97,25.94,28.08,0.2,23.97,20.0,18.49,3.74,18.49,True,
B07XLKMWZT,One Piece Series: Oda Eiichiro Vol 91-103 Collecti,US,2.39042984,127.70161290322581,52.59,0.0,1.3,21.71,6.25,7.8,35.76,52.59,70.66,75.28,80.33,0.2,70.66,20.0,34.36,18.07,34.36,True,
B09B8C4W3L,"Jujutsu Kaisen Manga Set, Vol. 1-10",US,1.85065536,79.55774193548388,40.46,0.0,1.3,13.52,4.95,7.8,26.27,40.46,40.03,42.91,46.06,0.15,42.91,15.0,6.06,2.45,6.06,True,
B09KQJNLP2,Demon Slayer: Kimetsu no Yaiba Vol (16-23) 8 Book ,US,1.56035648,84.58032258064516,31.91,0.0,1.3,14.38,4.95,7.8,27.13,31.91,43.35,46.42,49.76,0.2,43.35,20.01,35.85,11.44,35.85,True,
B0B2V9GK32,JuJuTsu Kaisen Series 1-10 set collection bundle V,UK,1.77808064,93.42206896551724,40.46,0.0,1.3,15.88,3.5,0.5,19.88,40.46,57.97,61.36,65.05,0.2,57.97,20.0,43.28,17.51,43.28,True,
B0B3DB4Q75,Dragon Ball Super Series Vol 1-20 Books Collection,US,3.55162536,197.9132258064516,80.01,0.0,1.3,33.65,6.25,7.8,47.7,80.01,117.23,124.4,132.22,0.2,117.23,20.0,46.52,37.22,46.52,True,
B0B5N1DCJ2,Hopeless 2 Books Collection Set By Colleen Hoover ,US,0.64863656,38.46741935483871,8.29,0.0,1.3,6.54,4.25,7.8,18.59,8.29,13.47,14.86,16.38,0.2,13.47,19.99,62.48,5.18,62.48,True,
B0CLF3H95P,My Hero Academia 5 Books Collection Set Volumes (3,US,0.94800728,52.70709677419355,17.98,0.0,1.3,8.96,4.25,7.8,21.01,17.98,22.91,24.82,26.91,0.2,22.91,20.01,27.42,4.93,27.42,True,
B0F38CZDDF,The Hunger Games (Deluxe Edition) Series 4-Book Co,US,1.45603032,55.57516129032258,21.08,0.0,1.3,9.45,4.95,7.8,22.2,21.08,24.11,26.13,28.32,0.2,24.11,20.01,14.37,3.03,14.37,True,
B0FCFLLM8L,Demon Slayer: Kimetsu Academy Series 5-Book Collec,US,0.226796,62.80583333333333,20.23,0.0,1.3,10.68,4.25,7.8,22.73,20.23,29.61,31.88,34.37,0.2,29.61,20.0,46.37,9.38,46.37,True,
